Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
689-05-1884,A,Yangon,Member,Male,Health and beauty,48.63,10,24.315,510.615,43528,0.530555556,Cash,486.3,4.761904762,24.315,8.8
308-47-4913,A,Yangon,Member,Female,Sports and travel,52.26,10,26.13,548.73,43533,0.53125,Credit card,522.6,4.761904762,26.13,6.2
291-55-6563,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,43554,0.53125,Ewallet,206.52,4.761904762,10.326,7.5
254-31-0042,A,Yangon,Member,Male,Electronic accessories,21.5,9,9.675,203.175,43530,0.531944444,Credit card,193.5,4.761904762,9.675,7.8
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,43543,0.531944444,Credit card,264.56,4.761904762,13.228,5.6
137-74-8729,C,Naypyitaw,Normal,Female,Fashion accessories,12.19,8,4.876,102.396,43537,0.532638889,Ewallet,97.52,4.761904762,4.876,6.8
173-57-2300,C,Naypyitaw,Member,Male,Sports and travel,72.88,2,7.288,153.048,43537,0.535416667,Cash,145.76,4.761904762,7.288,6.1
115-38-7388,C,Naypyitaw,Member,Female,Fashion accessories,10.18,8,4.072,85.512,43554,0.535416667,Credit card,81.44,4.761904762,4.072,9.5
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,25.368,532.728,43535,0.538194444,Ewallet,507.36,4.761904762,25.368,7.4
633-09-3463,C,Naypyitaw,Normal,Female,Electronic accessories,47.65,3,7.1475,150.0975,43552,0.540277778,Credit card,142.95,4.761904762,7.1475,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,43526,0.542361111,Credit card,81.06,4.761904762,4.053,7.1
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,43527,0.542361111,Cash,240.96,4.761904762,12.048,7.7
514-37-2845,B,Mandalay,Normal,Male,Fashion accessories,99.25,2,9.925,208.425,43544,0.543055556,Cash,198.5,4.761904762,9.925,9
585-11-6748,B,Mandalay,Member,Male,Sports and travel,96.8,3,14.52,304.92,43539,0.545138889,Cash,290.4,4.761904762,14.52,5.3
340-66-0321,A,Yangon,Member,Male,Electronic accessories,36.36,4,7.272,152.712,43549,0.546527778,Cash,145.44,4.761904762,7.272,7.6
576-31-4774,B,Mandalay,Normal,Female,Health and beauty,73.41,3,11.0115,231.2415,43526,0.548611111,Ewallet,220.23,4.761904762,11.0115,4
423-64-4619,A,Yangon,Member,Female,Health and beauty,15.55,9,6.9975,146.9475,43531,0.55,Cash,139.95,4.761904762,6.9975,5
884-80-6021,A,Yangon,Member,Female,Electronic accessories,73.47,10,36.735,771.435,43547,0.551388889,Ewallet,734.7,4.761904762,36.735,9.5
652-43-6591,A,Yangon,Normal,Female,Fashion accessories,97.29,8,38.916,817.236,43533,0.554166667,Credit card,778.32,4.761904762,38.916,6.2
563-91-7120,A,Yangon,Normal,Female,Fashion accessories,61.77,5,15.4425,324.2925,43532,0.55625,Cash,308.85,4.761904762,15.4425,6.7
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,43525,0.556944444,Cash,706.95,4.761904762,35.3475,7.2
286-01-5402,A,Yangon,Normal,Female,Sports and travel,40.23,7,14.0805,295.6905,43554,0.556944444,Cash,281.61,4.761904762,14.0805,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,43527,0.557638889,Credit card,324.31,4.761904762,16.2155,7.4
474-33-8305,C,Naypyitaw,Member,Male,Fashion accessories,67.39,7,23.5865,495.3165,43547,0.557638889,Ewallet,471.73,4.761904762,23.5865,6.9
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,43547,0.558333333,Ewallet,439.36,4.761904762,21.968,7.6
850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06,9,33.777,709.317,43543,0.559027778,Ewallet,675.54,4.761904762,33.777,6.2
892-05-6689,A,Yangon,Normal,Female,Home and lifestyle,28.32,5,7.08,148.68,43535,0.561111111,Ewallet,141.6,4.761904762,7.08,6.2
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle,37,1,1.85,38.85,43530,0.561805556,Credit card,37,4.761904762,1.85,7.9
793-10-3222,B,Mandalay,Member,Female,Health and beauty,41.06,6,12.318,258.678,43529,0.5625,Credit card,246.36,4.761904762,12.318,8.3
641-62-7288,B,Mandalay,Normal,Male,Home and lifestyle,99.92,6,29.976,629.496,43548,0.564583333,Ewallet,599.52,4.761904762,29.976,7.1
689-16-9784,C,Naypyitaw,Normal,Male,Food and beverages,46.77,6,14.031,294.651,43535,0.567361111,Cash,280.62,4.761904762,14.031,6
548-48-3156,A,Yangon,Member,Female,Food and beverages,83.34,2,8.334,175.014,43543,0.567361111,Cash,166.68,4.761904762,8.334,7.6
701-23-5550,B,Mandalay,Member,Male,Home and lifestyle,38.81,4,7.762,163.002,43543,0.569444444,Ewallet,155.24,4.761904762,7.762,4.9
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,4.5555,95.6655,43552,0.570138889,Ewallet,91.11,4.761904762,4.5555,5.1
211-05-0490,C,Naypyitaw,Member,Female,Electronic accessories,51.92,5,12.98,272.58,43527,0.570833333,Cash,259.6,4.761904762,12.98,7.5
148-82-2527,C,Naypyitaw,Member,Female,Home and lifestyle,12.12,10,6.06,127.26,43529,0.572222222,Credit card,121.2,4.761904762,6.06,8.4
776-68-1096,B,Mandalay,Normal,Male,Home and lifestyle,44.12,3,6.618,138.978,43542,0.572916667,Credit card,132.36,4.761904762,6.618,7.9
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7,21.728,456.288,43530,0.573611111,Ewallet,434.56,4.761904762,21.728,5.4
835-16-0096,C,Naypyitaw,Member,Male,Sports and travel,14.7,5,3.675,77.175,43548,0.575,Ewallet,73.5,4.761904762,3.675,8.5
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,43551,0.575,Credit card,259.68,4.761904762,12.984,4.9
457-12-0244,C,Naypyitaw,Member,Female,Sports and travel,35.22,6,10.566,221.886,43538,0.575694444,Ewallet,211.32,4.761904762,10.566,6.5
725-54-0677,C,Naypyitaw,Member,Male,Health and beauty,85.6,7,29.96,629.16,43526,0.576388889,Cash,599.2,4.761904762,29.96,5.3
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3,1.5885,33.3585,43536,0.577777778,Credit card,31.77,4.761904762,1.5885,8.7
127-47-6963,A,Yangon,Normal,Male,Health and beauty,51.71,4,10.342,217.182,43533,0.578472222,Credit card,206.84,4.761904762,10.342,9.8
650-98-6268,B,Mandalay,Member,Female,Food and beverages,20.87,3,3.1305,65.7405,43544,0.578472222,Credit card,62.61,4.761904762,3.1305,8
642-30-6693,B,Mandalay,Normal,Female,Sports and travel,54.51,6,16.353,343.413,43541,0.579166667,Ewallet,327.06,4.761904762,16.353,7.8
797-88-0493,A,Yangon,Normal,Female,Health and beauty,64.27,4,12.854,269.934,43550,0.579166667,Cash,257.08,4.761904762,12.854,7.7
266-76-6436,C,Naypyitaw,Member,Female,Food and beverages,38.6,3,5.79,121.59,43552,0.58125,Ewallet,115.8,4.761904762,5.79,7.5
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,43531,0.581944444,Ewallet,251.4,4.761904762,12.57,9.7
674-56-6360,A,Yangon,Normal,Male,Electronic accessories,95.15,1,4.7575,99.9075,43546,0.583333333,Cash,95.15,4.761904762,4.7575,6
278-86-2735,A,Yangon,Normal,Female,Food and beverages,52.34,3,7.851,164.871,43551,0.585416667,Cash,157.02,4.761904762,7.851,9.2
596-42-3999,B,Mandalay,Normal,Male,Food and beverages,18.22,7,6.377,133.917,43534,0.586111111,Credit card,127.54,4.761904762,6.377,6.6
154-87-7367,C,Naypyitaw,Normal,Male,Home and lifestyle,65.26,8,26.104,548.184,43539,0.586111111,Ewallet,522.08,4.761904762,26.104,6.3
186-79-9562,B,Mandalay,Normal,Male,Health and beauty,71.77,7,25.1195,527.5095,43553,0.5875,Cash,502.39,4.761904762,25.1195,8.9
851-98-3555,B,Mandalay,Normal,Female,Health and beauty,82.88,5,20.72,435.12,43548,0.588888889,Credit card,414.4,4.761904762,20.72,6.6
169-52-4504,A,Yangon,Normal,Female,Electronic accessories,15.69,3,2.3535,49.4235,43538,0.592361111,Credit card,47.07,4.761904762,2.3535,5.8
859-97-6048,C,Naypyitaw,Member,Male,Electronic accessories,84.25,2,8.425,176.925,43550,0.592361111,Credit card,168.5,4.761904762,8.425,5.3
632-32-4574,B,Mandalay,Normal,Male,Sports and travel,75.92,8,30.368,637.728,43544,0.593055556,Cash,607.36,4.761904762,30.368,5.5
565-67-6697,B,Mandalay,Member,Male,Home and lifestyle,27,9,12.15,255.15,43526,0.594444444,Cash,243,4.761904762,12.15,4.8
316-01-3952,A,Yangon,Normal,Female,Food and beverages,54.27,5,13.5675,284.9175,43537,0.594444444,Ewallet,271.35,4.761904762,13.5675,4.6
139-32-4183,A,Yangon,Member,Female,Sports and travel,97.48,9,43.866,921.186,43538,0.596527778,Ewallet,877.32,4.761904762,43.866,7.4
565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67,4,9.534,200.214,43536,0.597916667,Cash,190.68,4.761904762,9.534,9.1
334-64-2006,A,Yangon,Member,Female,Home and lifestyle,70.32,2,7.032,147.672,43548,0.598611111,Ewallet,140.64,4.761904762,7.032,9.6
291-21-5991,B,Mandalay,Member,Male,Health and beauty,61.29,5,15.3225,321.7725,43553,0.602777778,Cash,306.45,4.761904762,15.3225,7
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,43527,0.604166667,Cash,819.7,4.761904762,40.985,9.2
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,43529,0.604861111,Ewallet,581.42,4.761904762,29.071,4
550-84-8664,A,Yangon,Normal,Male,Sports and travel,85.91,5,21.4775,451.0275,43546,0.60625,Credit card,429.55,4.761904762,21.4775,8.6
462-78-5240,C,Naypyitaw,Normal,Female,Electronic accessories,26.61,2,2.661,55.881,43543,0.607638889,Cash,53.22,4.761904762,2.661,4.2
616-87-0016,B,Mandalay,Normal,Male,Fashion accessories,95.54,7,33.439,702.219,43533,0.608333333,Credit card,668.78,4.761904762,33.439,9.6
565-91-4567,B,Mandalay,Normal,Male,Health and beauty,10.75,8,4.3,90.3,43539,0.609722222,Ewallet,86,4.761904762,4.3,6.2
628-90-8624,B,Mandalay,Member,Male,Health and beauty,82.58,10,41.29,867.09,43538,0.611805556,Cash,825.8,4.761904762,41.29,5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,43546,0.6125,Ewallet,71.48,4.761904762,3.574,6.5
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.729,43554,0.613194444,Ewallet,874.98,4.761904762,43.749,6
727-75-6477,C,Naypyitaw,Normal,Male,Electronic accessories,28.84,4,5.768,121.128,43553,0.613888889,Cash,115.36,4.761904762,5.768,6.4
361-59-0574,B,Mandalay,Member,Male,Sports and travel,90.53,8,36.212,760.452,43539,0.616666667,Credit card,724.24,4.761904762,36.212,6.5
593-95-4461,C,Naypyitaw,Member,Male,Home and lifestyle,74.86,1,3.743,78.603,43548,0.617361111,Cash,74.86,4.761904762,3.743,6.9
821-07-3596,C,Naypyitaw,Normal,Female,Fashion accessories,16.45,4,3.29,69.09,43531,0.620138889,Ewallet,65.8,4.761904762,3.29,5.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,43533,0.622916667,Ewallet,451.76,4.761904762,22.588,7.3
778-89-7974,C,Naypyitaw,Normal,Male,Health and beauty,70.21,6,21.063,442.323,43554,0.623611111,Cash,421.26,4.761904762,21.063,7.4
667-92-0055,A,Yangon,Member,Male,Health and beauty,99.83,6,29.949,628.929,43528,0.626388889,Ewallet,598.98,4.761904762,29.949,8.5
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194,43546,0.628472222,Credit card,18.28,4.761904762,0.914,8.3
246-55-6923,C,Naypyitaw,Member,Female,Home and lifestyle,35.79,9,16.1055,338.2155,43534,0.629166667,Credit card,322.11,4.761904762,16.1055,5.1
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,43530,0.629861111,Credit card,574.88,4.761904762,28.744,6.2
760-90-2357,A,Yangon,Member,Male,Electronic accessories,74.51,6,22.353,469.413,43544,0.630555556,Ewallet,447.06,4.761904762,22.353,5
794-32-2436,B,Mandalay,Member,Male,Electronic accessories,55.67,2,5.567,116.907,43551,0.630555556,Ewallet,111.34,4.761904762,5.567,6
568-88-3448,A,Yangon,Normal,Male,Health and beauty,25,1,1.25,26.25,43527,0.63125,Ewallet,25,4.761904762,1.25,5.5
156-95-3964,A,Yangon,Normal,Female,Food and beverages,55.39,4,11.078,232.638,43549,0.638194444,Ewallet,221.56,4.761904762,11.078,8
593-08-5916,A,Yangon,Normal,Female,Fashion accessories,15.5,1,0.775,16.275,43543,0.640972222,Credit card,15.5,4.761904762,0.775,7.4
438-01-4015,B,Mandalay,Member,Female,Sports and travel,49.49,4,9.898,207.858,43545,0.642361111,Ewallet,197.96,4.761904762,9.898,6.6
558-60-5016,A,Yangon,Normal,Female,Home and lifestyle,33.3,9,14.985,314.685,43528,0.64375,Ewallet,299.7,4.761904762,14.985,7.2
364-33-8584,B,Mandalay,Member,Female,Food and beverages,17.63,5,4.4075,92.5575,43532,0.64375,Cash,88.15,4.761904762,4.4075,8.5
256-58-3609,C,Naypyitaw,Member,Male,Fashion accessories,91.98,1,4.599,96.579,43542,0.645138889,Cash,91.98,4.761904762,4.599,9.8
155-45-3814,C,Naypyitaw,Member,Female,Electronic accessories,88.55,8,35.42,743.82,43543,0.645138889,Ewallet,708.4,4.761904762,35.42,4.7
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,43535,0.645833333,Ewallet,80.6,4.761904762,4.03,4.4
420-97-3340,A,Yangon,Normal,Female,Food and beverages,71.68,3,10.752,225.792,43552,0.645833333,Credit card,215.04,4.761904762,10.752,9.2
149-15-7606,B,Mandalay,Member,Male,Sports and travel,37.32,9,16.794,352.674,43530,0.646527778,Ewallet,335.88,4.761904762,16.794,5.1
470-32-9057,A,Yangon,Member,Male,Food and beverages,51.34,5,12.835,269.535,43552,0.646527778,Credit card,256.7,4.761904762,12.835,9.1
153-58-4872,C,Naypyitaw,Member,Female,Food and beverages,74.89,4,14.978,314.538,43525,0.647222222,Ewallet,299.56,4.761904762,14.978,4.2
210-74-9613,C,Naypyitaw,Normal,Male,Fashion accessories,97.26,4,19.452,408.492,43540,0.647916667,Ewallet,389.04,4.761904762,19.452,6.8
489-64-4354,C,Naypyitaw,Normal,Male,Fashion accessories,16.28,1,0.814,17.094,43533,0.65,Cash,16.28,4.761904762,0.814,5
722-13-2115,C,Naypyitaw,Member,Male,Sports and travel,42.85,1,2.1425,44.9925,43538,0.65,Credit card,42.85,4.761904762,2.1425,9.3
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,43539,0.65,Cash,224.01,4.761904762,11.2005,7.4
345-08-4992,A,Yangon,Normal,Male,Home and lifestyle,33.99,6,10.197,214.137,43532,0.650694444,Credit card,203.94,4.761904762,10.197,7.7
453-63-6187,B,Mandalay,Normal,Male,Electronic accessories,27.5,3,4.125,86.625,43525,0.652777778,Ewallet,82.5,4.761904762,4.125,6.5
320-49-6392,C,Naypyitaw,Normal,Female,Electronic accessories,30.24,1,1.512,31.752,43528,0.655555556,Cash,30.24,4.761904762,1.512,8.4
584-66-4073,C,Naypyitaw,Normal,Male,Fashion accessories,56.5,1,2.825,59.325,43537,0.65625,Ewallet,56.5,4.761904762,2.825,9.6
898-04-2717,A,Yangon,Normal,Male,Fashion accessories,76.4,9,34.38,721.98,43543,0.659027778,Ewallet,687.6,4.761904762,34.38,7.5
413-20-6708,C,Naypyitaw,Member,Female,Fashion accessories,51.47,1,2.5735,54.0435,43542,0.661111111,Ewallet,51.47,4.761904762,2.5735,8.5
